price,year,make,model,trim,miles,transmission,drivetrain,highway_mpg,city_mpg,doors,latitude,longitude,listing_date,car_age,price_per_mile,region_cluster_1,region_cluster_2,region_cluster_3,region_cluster_4,region_cluster_5,region_cluster_6,region_cluster_7,region_cluster_8,region_cluster_9,age_miles_ratio,mileage_bucket,region_cluster
31598.0,2022,11,86,60,60727.0,0,0,29.0,30.0,5.0,35.90826,-84.131912,1754102002,3,0.5203286841108568,1,0,0,0,0,0,0,0,0,15181.75,2,9
34587.0,2021,6,31,33,96135.0,0,0,27.0,24.0,4.0,38.197824,-84.273761,1752726357,4,0.3597753159619285,0,0,1,0,0,0,0,0,0,19227.0,2,3
22387.0,2021,21,6,50,77245.0,0,0,24.0,21.0,5.0,38.197824,-84.273761,1752213109,4,0.2898181112046087,0,0,1,0,0,0,0,0,0,15449.0,2,3
13950.0,2017,6,31,72,195655.0,0,2,30.0,25.0,4.0,35.722487,-78.925375,1749182611,8,0.071298970125987,0,0,0,0,0,0,0,0,1,21739.444444444445,3,9
33900.0,2023,17,50,39,15503.0,1,0,28.0,21.0,5.0,41.609472,-93.755189,1753153595,2,2.186673547055409,0,0,1,0,0,0,0,0,0,5167.666666666667,0,7
22947.0,2024,6,29,5,8156.0,0,1,34.0,28.0,5.0,21.32774,-157.902132,1754620432,1,2.813511525257479,0,1,0,0,0,0,0,0,0,4078.0,0,2
22000.0,2025,21,44,49,17617.0,0,1,40.0,30.0,4.0,28.053463,-82.459749,1754360840,0,1.2487937787364478,0,0,0,0,0,0,1,0,0,17617.0,0,0
15285.0,2018,17,50,54,105678.0,1,1,28.0,21.0,5.0,34.01724,-81.075345,1754447519,7,0.1446374836768296,0,0,0,0,0,0,0,0,1,13209.75,3,9
13977.0,2020,1,28,41,96532.0,0,1,33.0,27.0,5.0,34.170186,-84.782018,1749170726,5,0.1447913645216094,1,0,0,0,0,0,0,0,0,16088.666666666666,2,9
38905.0,2025,12,75,47,5.0,0,0,28.0,23.0,5.0,39.689936,-74.253376,1754534374,0,7781.0,0,0,0,0,0,1,0,0,0,5.0,0,6
20490.0,2019,3,78,28,95546.0,0,2,28.0,21.0,5.0,25.45967,-80.468198,1754534657,6,0.2144516777259121,0,0,0,0,0,0,1,0,0,13649.42857142857,2,0
20300.0,2023,12,37,22,17914.0,0,1,40.0,29.0,4.0,39.140563,-121.656919,1752460433,2,1.1331919169364744,0,0,0,0,0,0,0,1,0,5971.333333333333,0,5
28599.0,2025,21,44,51,10671.0,0,1,41.0,30.0,4.0,29.80134,-94.993979,1754188999,0,2.680067472589261,0,0,0,0,1,0,0,0,0,10671.0,0,4
19998.0,2024,12,37,22,25916.0,0,1,40.0,29.0,4.0,33.513305,-117.155963,1754447193,1,0.7716468590831919,0,0,0,0,0,0,0,1,0,12958.0,1,5
19999.0,2024,12,37,22,26952.0,0,1,40.0,29.0,4.0,33.513305,-117.155963,1753755075,1,0.7420228554467201,0,0,0,0,0,0,0,1,0,13476.0,1,5
19999.0,2024,12,37,22,32382.0,0,1,40.0,29.0,4.0,33.513305,-117.155963,1753755076,1,0.6175961954172071,0,0,0,0,0,0,0,1,0,16191.0,1,5
22000.0,2025,21,44,49,19320.0,0,1,40.0,30.0,4.0,28.053463,-82.459749,1754620424,0,1.1387163561076603,0,0,0,0,0,0,1,0,0,19320.0,0,0
38541.0,2023,6,31,72,41288.0,0,0,28.0,24.0,4.0,47.225872,-122.46493,1754018987,2,0.93346735128851,0,0,0,1,0,0,0,0,0,13762.666666666666,1,1
19840.0,2023,17,4,58,32465.0,1,1,39.0,28.0,4.0,21.32774,-157.902132,1754620423,2,0.6111196673340521,0,1,0,0,0,0,0,0,0,10821.666666666666,1,2
4791.0,2014,17,84,58,129640.0,1,1,40.0,32.0,4.0,33.415971,-111.616012,1753843790,11,0.0369561863622338,0,0,0,0,0,0,0,0,0,10803.333333333334,3,8
19824.0,2023,17,65,58,46784.0,1,1,37.0,30.0,5.0,45.496351,-122.412249,1754620422,2,0.423734610123119,0,0,0,1,0,0,0,0,0,15594.666666666666,1,1
19827.0,2023,17,65,58,46762.0,1,1,37.0,30.0,5.0,26.137551,-80.133625,1754620422,2,0.4239981181301056,0,0,0,0,0,0,1,0,0,15587.333333333334,1,0
24440.0,2024,14,14,48,24488.0,0,0,31.0,26.0,5.0,43.146139,-88.053233,1754534270,1,0.9980398562561256,0,0,1,0,0,0,0,0,0,12244.0,1,3
35998.0,2022,6,31,72,58801.0,0,0,25.0,20.0,4.0,47.225872,-122.46493,1754018864,3,0.6122004727810751,0,0,0,1,0,0,0,0,0,14700.25,1,1
17990.0,2023,3,10,29,26553.0,0,1,110.0,131.0,5.0,28.077342,-81.601247,1754374675,2,0.6775128987308402,0,0,0,0,0,0,1,0,0,8851.0,1,0
19800.0,2023,17,65,47,64463.0,1,0,35.0,28.0,5.0,33.639435,-112.088553,1754534985,2,0.3071529404464576,0,0,0,0,0,0,0,0,0,21487.666666666668,2,8
19807.0,2023,17,65,58,48462.0,1,1,37.0,30.0,5.0,40.856025,-73.168016,1754620421,2,0.4087119805208204,0,0,0,0,0,1,0,0,0,16154.0,1,6
27990.0,2024,3,73,69,10392.0,0,2,24.0,20.0,2.0,38.840234,-94.538738,1754620420,1,2.693418013856813,0,0,0,0,1,0,0,0,0,5196.0,0,7
27590.0,2024,3,73,69,12966.0,0,2,24.0,20.0,2.0,39.824942,-85.923198,1754371178,1,2.1278728983495294,0,0,1,0,0,0,0,0,0,6483.0,0,3
23990.0,2018,3,16,0,33084.0,0,2,31.0,22.0,2.0,28.077342,-81.601247,1754442220,7,0.7251239269737637,0,0,0,0,0,0,1,0,0,4135.5,1,0
37500.0,2023,10,60,53,9959.0,0,0,27.0,19.0,4.0,30.276744,-97.742027,1744420697,2,3.7654382970177727,0,0,0,0,1,0,0,0,0,3319.6666666666665,0,4
19699.0,2023,17,4,57,61536.0,1,1,39.0,27.0,4.0,26.15359,-80.20174,1754534444,2,0.3201215548621945,0,0,0,0,0,0,1,0,0,20512.0,2,0
19699.0,2023,17,4,57,61842.0,1,1,39.0,27.0,4.0,43.033054,-78.696376,1753324717,2,0.3185375634681931,0,0,0,0,0,1,0,0,0,20614.0,2,6
